Time,Weight
14:25:13,-0.029481579
14:25:14,-0.048241625
14:25:15,-0.054942464
14:25:16,0.004019736
14:25:17,-0.062982894
14:25:18,0.002680144
14:25:19,-0.057623087
14:25:20,-0.033501794
14:25:21,-0.010720094
14:25:22,-0.042881818
14:25:23,-0.021441148
14:25:24,-0.049582656
14:25:25,-0.042881818
14:25:26,-0.03752201
14:25:27,-0.021441148
14:25:28,-0.01474031
14:25:29,-0.042881818
14:25:30,-0.03752201
14:25:31,-0.042881818
14:25:32,0.008039951
14:25:33,-0.060302271
14:25:34,-0.069683733
14:25:35,-0.054942464
14:25:36,-0.040201194
14:25:37,-0.012061126
14:25:38,-0.02278074
14:25:39,-0.054942464
14:25:40,-0.05226184
14:25:41,-0.040201194
14:25:42,-0.048241625
14:25:43,-0.032162202
14:25:44,-0.017420933
14:25:45,-0.061643302
14:25:46,-0.018760526
14:25:47,-0.02278074
14:25:48,-0.040201194
14:25:49,-0.061643302
14:25:50,-0.050922248
14:25:51,-0.029481579
14:25:52,-0.028141987
14:25:53,-0.040201194
14:25:54,-0.034841386
14:25:55,-0.002679664
14:25:56,-0.016081341
14:25:57,-0.029481579
14:25:58,-0.016081341
14:25:59,-0.056282056
14:26:00,-0.054942464
14:26:01,-0.04556244
14:26:02,-0.042881818
14:26:03,-0.034841386
14:26:04,-0.07504354
14:26:05,-0.03752201
14:26:06,-0.018760526
14:26:07,-0.042881818
14:26:08,-0.04422141
14:26:09,-0.062982894
14:26:10,-0.061643302
14:26:11,-0.049582656
14:26:12,0.018761005
14:26:13,-0.002679664
14:26:14,-0.048241625
14:26:15,-0.041542225
14:26:16,-0.042881818
14:26:17,-0.018760526
14:26:18,-0.058962679
14:26:19,-0.048241625
14:26:20,-0.049582656
14:26:21,-0.025461364
14:26:22,-0.064322486
14:26:23,-0.048241625
14:26:24,-0.065663517
14:26:25,-0.061643302
14:26:26,-0.042881818
14:26:27,-0.025461364
14:26:28,-0.064322486
14:26:29,-0.013400718
14:26:30,-0.038861602
14:26:31,-0.069683733
14:26:32,-0.05226184
14:26:33,-0.04422141
14:26:34,-0.018760526
14:26:35,-0.053602871
14:26:36,0.004019736
14:26:37,-0.077724163
14:26:38,-0.024121772
14:26:39,-0.029481579
14:26:40,-0.033501794
14:26:41,-0.080403348
14:26:42,-0.056282056
14:26:43,-0.058962679
14:26:44,-0.034841386
14:26:45,-0.042881818
14:26:46,-0.061643302
14:26:47,-0.053602871
14:26:48,-0.033501794
14:26:49,-0.04422141
14:26:50,-0.072362917
14:26:51,-0.054942464
14:26:52,-0.053602871
14:26:53,-0.04556244
14:26:54,-0.058962679
14:26:55,-0.03752201
14:26:56,-0.049582656
14:26:57,-0.029481579
14:26:58,-0.065663517
14:26:59,-0.040201194
