Measurement Start time (24hr time),Pressure (bar),Flux 0 (LMH),Flux 1 (LMH),Flux 2 (LMH),Average Flux (LMH),Standard Deviation (LMH),Standard Error (%)
13:44:00,3.102642,3179.9370193871414,3323.0441474684217,2721.516807331438,3074.832658062334,256.5722514357186,8.34426715102612
13:45:00,3.102642,3136.512148398357,3269.8364995227666,2671.246013089339,3025.864887003488,256.5927447048991,8.479980246540443
13:46:00,3.102642,3102.4112811990462,3212.341046669116,2621.4767684872263,2978.7430321184625,256.5807549042397,8.613725727182352
13:47:00,3.102642,3063.2964880576,3164.298211235369,2566.00330533411,2931.1993348756932,261.5039094875668,8.92139631638722
13:48:00,3.102642,2996.3557046364554,3110.335247488609,2518.020511630565,2874.9038212518767,256.60878987529134,8.92582172587433
13:49:00,3.102642,2969.3214017873497,3058.443137107632,2467.561602621403,2831.7753805054617,260.09540291600496,9.18488820499523
13:50:00,3.102642,2942.1403852093963,3017.0999690488325,2428.6989762653484,2795.9797768411922,261.50350495556785,9.352839642173882
13:51:00,3.102642,2894.317124783343,2973.4424593829744,2382.408374164721,2750.055986110346,261.96536612163914,9.525819381305052
13:52:00,3.102642,2861.066724956984,2923.085125387995,2343.1070937857553,2709.0863147102446,260.0220030553537,9.598143907170593
13:53:00,3.102642,2826.350100867357,2889.001951103684,2310.6378792596256,2675.3299770768886,259.14160638831686,9.686341819840088
13:54:00,3.102642,2796.8820817188057,2842.8838447001194,2262.184832290487,2633.9835862364707,263.57133838385744,10.00656722999772
13:55:00,3.102642,2763.8368922110703,2806.681161256204,2233.225893160457,2601.247982209244,260.81807371982217,10.026651649655829
13:56:00,3.102642,2749.2641260622854,2783.414928545352,2205.0817029793907,2579.253585862343,264.9465578598692,10.272218261597859
13:57:00,3.102642,2708.5366782812794,2736.4927982287554,2159.700142775318,2534.9098730951177,265.55870971170947,10.476061201634087
13:58:00,3.102642,2692.849706367461,2708.134893650922,2135.4110601938623,2512.1318867374152,266.45493064971396,10.606725389556173
13:59:00,3.102642,2661.299831999801,2669.6177116458116,2099.274819183129,2476.7307876095806,266.92327593775485,10.777242212722529
14:00:00,3.102642,2641.1853482883944,2643.7691642356995,2080.2197355391304,2455.0580826877413,265.0528361113929,10.796194109640743
14:01:00,3.102642,2614.8840473782257,2613.6083532254033,2041.5450220380849,2423.3458075472377,269.9744268265022,11.140565493612065
14:02:00,3.102642,2596.3822497899373,2584.7632105748326,2028.6640400386204,2403.2698334677966,264.92876510626724,11.023679547626513
14:03:00,3.102642,2571.136437669578,2545.9049933096444,1980.9944456439644,2366.0119588743955,272.4432914286703,11.514873811469755
14:04:00,3.102642,2550.318326248644,2521.8348151628647,1963.8822611189012,2345.345134176803,269.98551842908824,11.511547468848372
14:05:00,3.102642,2528.356571866043,2495.791356828175,1935.8636266078584,2320.003851767359,271.9533143106361,11.722106155274888
14:06:00,3.102642,2512.52294919061,2463.5597709291196,1914.583101522311,2296.8886072140135,271.0688386960133,11.801566599470549
14:07:00,3.102642,2480.5919969315564,2432.570686586062,1889.0403131007515,2267.40099887279,268.2587283019138,11.83111096957597
14:08:00,3.102642,2459.0406631861633,2399.583889521977,1869.577669896258,2242.7340742014662,264.97553791388947,11.814844254695466
14:09:00,3.102642,2440.245658525574,2379.5821989847136,1839.741119852167,2219.856325787485,269.9205947043232,12.159372278679792
14:10:00,3.102642,2421.392031340725,2339.1405495397507,1813.7908728261311,2191.4411512355355,269.1420023601415,12.281507181171582
14:11:00,3.102642,2387.056579593374,2313.1457208398383,1798.308421763045,2166.170240732086,261.861849266402,12.08870126375212
14:12:00,3.102642,2374.5364203688837,2288.028004379761,1768.4092453180342,2143.6578900222266,267.68088653405516,12.487108497115633
14:18:00,3.102642,2273.4068674457408,2162.2688128927325,1661.912966330804,2032.529548889759,265.9641645575784,13.085377514086208
14:20:00,3.102642,2264.5810921453162,2072.493039869155,1610.4198972312413,1982.4980097485711,274.53724254662455,13.84804631311799
14:21:00,3.102642,2196.438137689225,2045.1582410716187,1590.800469286195,1944.1322826823462,257.36346483591115,13.237960561038738
14:22:00,3.102642,2165.6797933338885,2021.1126000939425,1578.514825094122,1921.7690728406512,249.78994813955933,12.997916954212082
14:23:00,3.102642,2141.1965462836315,1991.8044687904721,1548.4589648646136,1893.8199933129056,251.7077381707829,13.291006487394
14:24:00,3.102642,2115.686995771263,1968.4651215937272,1538.4612539070692,1874.2044570906864,244.89616020139812,13.066672596731982
14:25:00,3.102642,2098.4752085535188,1944.541224736657,1526.7710148265567,1856.595816038911,241.53980688423343,13.009821782296378
14:26:00,3.102642,2082.4070642973784,1920.4222861599712,1502.9833809290483,1835.2709104621326,244.09153856624712,13.300027651219262
14:27:00,3.102642,2055.226173653929,1902.0773777196785,1491.1677544384559,1816.1571019373544,238.15568495537755,13.113165414012315
14:28:00,3.102642,2035.5807960712975,1881.3936689804366,1471.172366175407,1796.0489437423803,238.19041476496008,13.261911129696106
14:29:00,3.102642,2016.932379205053,1853.5229239982182,1464.9041398434426,1778.4531476822378,231.531708052077,13.018712826583023
14:30:00,3.102642,2002.183682516082,1838.4668856285375,1440.709080993398,1760.4532163793392,235.76546464803633,13.392316390714813
14:31:00,3.102642,1974.650836341531,1811.9848450148775,1435.5376748048393,1740.724452053749,225.78645211682144,12.970832451421769
14:32:00,3.102642,1963.6848036830966,1799.3650754860241,1418.3315675043204,1727.127148891147,228.42398674644647,13.22566128921658
14:33:00,3.102642,1935.7120052237572,1772.517645556309,1400.874786339823,1703.0348123732965,223.80588427806373,13.141591860132017
