Measurement Start time (24hr time),Pressure (bar),Flux 0 (LMH),Flux 1 (LMH),Flux 2 (LMH),Average Flux (LMH),Standard Deviation (LMH),Standard Error (%)
14:34:00,3.102642,1925.3615720375954,1759.8491155975769,1393.1021803037593,1692.770955979644,222.41046834702567,13.138840051654348
14:35:00,3.102642,1902.8427147725042,1734.8288415202076,1378.7166839922634,1672.1294134283253,218.5184015861507,13.068270902437382
14:36:00,3.102642,1885.0153280825598,1723.1592202399047,1369.3458764327622,1659.1734749184088,215.32824175269596,12.978042682564276
14:37:00,3.102642,1871.2342808478634,1699.96615433296,1347.9712603116252,1639.7238984974829,217.82698670625,13.28436982017826
14:38:00,3.102642,1857.2772401057196,1681.9622026756497,1336.4692369541597,1625.2362265785096,216.36946998103156,13.313108977181631
14:39:00,3.102642,1832.999140406878,1668.5872481408026,1334.5574659496806,1612.0479514991202,207.37814857159822,12.864266747074577
14:40:00,3.102642,1809.3953886390461,1652.191291991468,1318.7929100401223,1593.4598635568789,204.54784854458438,12.836711687735775
14:41:00,3.102642,1802.9153014007036,1634.3335693059064,1308.043076534634,1581.763982413748,205.42200601928795,12.986893639202549
14:42:00,3.102642,1785.029323670057,1619.935352036544,1297.3245394036453,1567.429738370082,202.53661191490886,12.92157517220006
14:43:00,3.102642,1764.4455764117317,1602.5648412646667,1280.8390900165182,1549.2831692309721,200.99421360147096,12.973368432140123
14:44:00,3.102642,1754.183139979258,1590.5785387802991,1274.9783895930643,1539.9133561175404,198.88777195336664,12.915517042777418
