Date,Weight [Bridge Input Ch:0 -> 1046 S/N:583686]
2024-06-21 14:38:51.138983,279.188199703482
2024-06-21 14:38:52.138983,279.166140908725
2024-06-21 14:38:53.138983,279.16981803244
2024-06-21 14:38:54.138983,279.16981803244
2024-06-21 14:38:55.138983,279.199229100861
2024-06-21 14:38:56.138983,279.103641648168
2024-06-21 14:38:57.138983,279.103641648168
2024-06-21 14:38:58.138983,279.072393004772
2024-06-21 14:38:59.138983,279.155113485111
2024-06-21 14:39:00.138983,279.156951060086
2024-06-21 14:39:01.138983,279.140406964018
2024-06-21 14:39:02.138983,279.177170306104
2024-06-21 14:39:03.138983,279.191876827197
2024-06-21 14:39:04.138983,279.155113485111
2024-06-21 14:39:05.138983,279.180847429818
2024-06-21 14:39:06.138983,279.177170306104
2024-06-21 14:39:07.138983,279.12937756664
2024-06-21 14:39:08.138983,279.160626210036
2024-06-21 14:39:09.138983,279.171655607415
2024-06-21 14:39:10.138983,279.226802594308
2024-06-21 14:39:11.138983,279.112833470572
2024-06-21 14:39:12.138983,279.186362128508
2024-06-21 14:39:13.138983,279.226802594308
2024-06-21 14:39:14.138983,279.167980457465
2024-06-21 14:39:15.138983,279.217610771904
2024-06-21 14:39:16.138983,279.230479718022
2024-06-21 14:39:17.138983,279.188199703482
2024-06-21 14:39:18.138983,279.24518426535
2024-06-21 14:39:19.138983,279.226802594308
2024-06-21 14:39:20.138983,279.274595333772
2024-06-21 14:39:21.138983,279.212098046979
2024-06-21 14:39:22.138983,279.24702381409
2024-06-21 14:39:23.138983,279.212098046979
2024-06-21 14:39:24.138983,279.269082608847
2024-06-21 14:39:25.138983,279.329742320665
2024-06-21 14:39:26.138983,279.186362128508
2024-06-21 14:39:27.138983,279.16981803244
2024-06-21 14:39:28.138983,279.261728361418
2024-06-21 14:39:29.138983,279.221287895618
2024-06-21 14:39:30.138983,279.311360649622
2024-06-21 14:39:31.138983,279.278272457486
2024-06-21 14:39:32.138983,279.265405485133
2024-06-21 14:39:33.138983,279.392241581222
2024-06-21 14:39:34.138983,279.342609293018
2024-06-21 14:39:35.138983,279.313198224597
2024-06-21 14:39:36.138983,279.447388568115
2024-06-21 14:39:37.138983,279.406948102315
2024-06-21 14:39:38.138983,279.498858431293
2024-06-21 14:39:39.138983,279.546651170757
2024-06-21 14:39:40.138983,279.583416486607
2024-06-21 14:39:41.138983,279.732311377454
2024-06-21 14:39:42.138983,279.846280501189
2024-06-21 14:39:43.138983,280.031938734121
2024-06-21 14:39:44.138983,280.109144515771
2024-06-21 14:39:45.138983,280.281935776349
2024-06-21 14:39:46.138983,280.577887983067
2024-06-21 14:39:47.138983,280.710238777845
2024-06-21 14:39:48.138983,280.110982090746
2024-06-21 14:39:49.138983,280.544799790931
2024-06-21 14:39:50.138983,280.820532751631
2024-06-21 14:39:51.138983,281.294790917617
2024-06-21 14:39:52.138983,281.158762999124
2024-06-21 14:39:53.138983,281.502507945305
2024-06-21 14:39:54.138983,281.881180632363
2024-06-21 14:39:55.138983,280.184510748682
2024-06-21 14:39:56.138983,280.743326969981
2024-06-21 14:39:57.138983,281.316849712374
2024-06-21 14:39:58.138983,281.629346015159
2024-06-21 14:39:59.138983,281.963899138937
2024-06-21 14:40:00.138983,282.090737208791
2024-06-21 14:40:01.138983,282.109118879834
2024-06-21 14:40:02.138983,282.550288853683
2024-06-21 14:40:03.138983,283.074179307872
2024-06-21 14:40:04.138983,283.894021968779
2024-06-21 14:40:05.138983,284.452838190078
2024-06-21 14:40:06.138983,285.096212466692
2024-06-21 14:40:07.138983,285.739586743306
2024-06-21 14:40:08.138983,286.392150868558
2024-06-21 14:40:09.138983,286.796557500322
2024-06-21 14:40:10.138983,287.678899421786
2024-06-21 14:40:11.138983,288.125586068089
2024-06-21 14:40:12.138983,288.803886111814
2024-06-21 14:40:13.138983,289.370054606777
2024-06-21 14:40:14.138983,290.112691486034
2024-06-21 14:40:15.138983,290.649450886341
2024-06-21 14:40:16.138983,291.331426080015
2024-06-21 14:40:17.138983,291.884727602625
2024-06-21 14:40:18.138983,292.662292222757
2024-06-21 14:40:19.138983,293.256034211167
2024-06-21 14:40:20.138983,293.846101049627
2024-06-21 14:40:21.138983,294.390210749834
2024-06-21 14:40:22.138983,295.17328809489
2024-06-21 14:40:23.138983,295.719237343836
2024-06-21 14:40:24.138983,296.338715250718
2024-06-21 14:40:25.138983,297.066647582646
2024-06-21 14:40:26.138983,297.647522598703
2024-06-21 14:40:27.138983,298.191632298909
2024-06-21 14:40:28.138983,298.708170479434
2024-06-21 14:40:29.138983,299.403014619226
2024-06-21 14:40:30.138983,300.099696333993
2024-06-21 14:40:31.138983,300.695275897378
2024-06-21 14:40:32.138983,301.323945626664
2024-06-21 14:40:33.138983,302.064744930945
2024-06-21 14:40:34.138983,302.691575111491
2024-06-21 14:40:35.138983,303.272450127548
2024-06-21 14:40:36.138983,303.886411361976
2024-06-21 14:40:37.138983,304.4029495425
2024-06-21 14:40:38.138983,305.191541586246
2024-06-21 14:40:39.138983,305.746682657596
2024-06-21 14:40:40.138983,306.441526797388
2024-06-21 14:40:41.138983,307.016887114755
2024-06-21 14:40:42.138983,307.557321665012
2024-06-21 14:40:43.138983,308.292606270604
2024-06-21 14:40:44.138983,308.858774765568
2024-06-21 14:40:45.138983,309.522368288199
2024-06-21 14:40:46.138983,310.128979222728
2024-06-21 14:40:47.138983,310.726398334852
2024-06-21 14:40:48.138983,311.452491118041
2024-06-21 14:40:49.138983,312.027851435408
2024-06-21 14:40:50.138983,312.627108122508
2024-06-21 14:40:51.138983,313.456142605818
2024-06-21 14:40:52.138983,313.939592594207
2024-06-21 14:40:53.138983,314.787006774795
2024-06-21 14:40:54.138983,315.14178309212
2024-06-21 14:40:55.138983,315.895449368755
2024-06-21 14:40:56.138983,316.533308946679
2024-06-21 14:40:57.138983,316.814554632304
2024-06-21 14:40:58.138983,316.406470876826
2024-06-21 14:40:59.138983,313.134454480629
2024-06-21 14:41:00.138983,313.764961784889
