Time,Weight
14:25:13,-0.053827136
14:25:14,-0.088079016
14:25:15,-0.100313332
14:25:16,0.007339188
14:25:17,-0.11499346
14:25:18,0.004893376
14:25:19,-0.105207583
14:25:20,-0.0611672
14:25:21,-0.019572628
14:25:22,-0.07829314
14:25:23,-0.039147008
14:25:24,-0.090527456
14:25:25,-0.07829314
14:25:26,-0.068507263
14:25:27,-0.039147008
14:25:28,-0.026912692
14:25:29,-0.07829314
14:25:30,-0.068507263
14:25:31,-0.07829314
14:25:32,0.014679252
14:25:33,-0.110099208
14:25:34,-0.127227776
14:25:35,-0.100313332
14:25:36,-0.073398888
14:25:37,-0.022021067
14:25:38,-0.04159282
14:25:39,-0.100313332
14:25:40,-0.09541908
14:25:41,-0.073398888
14:25:42,-0.088079016
14:25:43,-0.058721387
14:25:44,-0.031806943
14:25:45,-0.112547648
14:25:46,-0.034252756
14:25:47,-0.04159282
14:25:48,-0.073398888
14:25:49,-0.112547648
14:25:50,-0.092973267
14:25:51,-0.053827136
14:25:52,-0.051381324
14:25:53,-0.073398888
14:25:54,-0.063613012
14:25:55,-0.004892501
14:25:56,-0.029361132
14:25:57,-0.053827136
14:25:58,-0.029361132
14:25:59,-0.102759144
14:26:00,-0.100313332
14:26:01,-0.083187391
14:26:02,-0.07829314
14:26:03,-0.063613012
14:26:04,-0.137013652
14:26:05,-0.068507263
14:26:06,-0.034252756
14:26:07,-0.07829314
14:26:08,-0.080738952
14:26:09,-0.11499346
14:26:10,-0.112547648
14:26:11,-0.090527456
14:26:12,0.034253632
14:26:13,-0.004892501
14:26:14,-0.088079016
14:26:15,-0.075847328
14:26:16,-0.07829314
14:26:17,-0.034252756
14:26:18,-0.107653395
14:26:19,-0.088079016
14:26:20,-0.090527456
14:26:21,-0.046487072
14:26:22,-0.117439273
14:26:23,-0.088079016
14:26:24,-0.119887711
14:26:25,-0.112547648
14:26:26,-0.07829314
14:26:27,-0.046487072
14:26:28,-0.117439273
14:26:29,-0.02446688
14:26:30,-0.070953076
14:26:31,-0.127227776
14:26:32,-0.09541908
14:26:33,-0.080738952
14:26:34,-0.034252756
14:26:35,-0.097867519
14:26:36,0.007339188
14:26:37,-0.141907903
14:26:38,-0.044041259
14:26:39,-0.053827136
14:26:40,-0.0611672
14:26:41,-0.146799528
14:26:42,-0.102759144
14:26:43,-0.107653395
14:26:44,-0.063613012
14:26:45,-0.07829314
14:26:46,-0.112547648
14:26:47,-0.097867519
14:26:48,-0.0611672
14:26:49,-0.080738952
14:26:50,-0.1321194
14:26:51,-0.100313332
14:26:52,-0.097867519
14:26:53,-0.083187391
14:26:54,-0.107653395
14:26:55,-0.068507263
14:26:56,-0.090527456
14:26:57,-0.053827136
14:26:58,-0.119887711
14:26:59,-0.073398888
14:27:00,-0.051381324
14:27:01,-0.088079016
14:27:02,-0.092973267
14:27:03,-0.009786752
14:27:04,-0.075847328
14:27:05,-0.056272948
14:27:06,-0.134567839
14:27:07,-0.112547648
14:27:08,0.002447564
14:27:09,-0.058721387
14:27:10,-0.07829314
14:27:11,-0.068507263
14:27:12,-0.146799528
14:27:13,-0.070953076
14:27:14,-0.051381324
14:27:15,-0.063613012
14:27:16,-0.07829314
14:27:17,-0.112547648
14:27:18,-0.046487072
14:27:19,-0.019572628
14:27:20,-0.007340939
14:27:21,-0.053827136
14:27:22,-0.066061452
14:27:23,-0.053827136
14:27:24,-0.056272948
14:27:25,-0.034252756
14:27:26,-0.066061452
14:27:27,-0.029361132
14:27:28,-0.07829314
14:27:29,-0.080738952
14:27:30,-0.053827136
14:27:31,-0.002446688
14:27:32,-0.053827136
14:27:33,-0.119887711
14:27:34,-0.070953076
14:27:35,-0.048932884
14:27:36,-0.066061452
14:27:37,-0.137013652
14:27:38,-0.068507263
14:27:39,-0.068507263
14:27:40,-0.056272948
14:27:41,-0.102759144
14:27:42,-0.058721387
14:27:43,-0.0611672
14:27:44,-0.051381324
14:27:45,-0.083187391
14:27:46,-0.036701196
14:27:47,-0.068507263
14:27:48,-0.09541908
14:27:49,-0.092973267
14:27:50,-0.09541908
14:27:51,-0.083187391
14:27:52,-0.044041259
14:27:53,-0.073398888
14:27:54,-0.04159282
14:27:55,-0.105207583
14:27:56,-0.083187391
14:27:57,-0.053827136
14:27:58,-0.085633204
14:27:59,-0.070953076
14:28:00,-0.15169378
14:28:01,-0.044041259
14:28:02,-0.056272948
14:28:03,-0.058721387
14:28:04,-0.073398888
14:28:05,-0.085633204
14:28:06,-0.029361132
14:28:07,-0.090527456
14:28:08,-0.058721387
14:28:09,-0.112547648
14:28:10,-0.110099208
14:28:11,-0.088079016
14:28:12,-0.09541908
14:28:13,-0.083187391
14:28:14,-0.068507263
14:28:15,-0.004892501
14:28:16,-0.105207583
14:28:17,-0.122333524
14:28:18,-0.105207583
14:28:19,-0.085633204
14:28:20,-0.092973267
14:28:21,-0.031806943
14:28:22,-0.11499346
14:28:23,-0.18594566
14:28:24,-0.134567839
14:28:25,-0.092973267
14:28:26,-0.056272948
14:28:27,-0.039147008
14:28:28,-0.068507263
14:28:29,-0.141907903
14:28:30,-0.029361132
14:28:31,-0.04159282
14:28:32,-0.085633204
14:28:33,-0.029361132
14:28:34,-0.017126816
14:28:35,-0.031806943
14:28:36,0.031805192
14:28:37,-0.097867519
14:28:38,-0.007340939
14:28:39,-0.007340939
14:28:40,-0.02446688
14:28:41,-0.075847328
14:28:42,-0.105207583
14:28:43,-0.044041259
14:28:44,-0.107653395
14:28:45,-0.083187391
14:28:46,-0.007340939
14:28:47,-0.007340939
14:28:48,-0.070953076
14:28:49,-0.083187391
14:28:50,0.004893376
14:28:51,-0.046487072
14:28:52,-0.019572628
14:28:53,-0.07829314
14:28:54,-0.031806943
14:28:55,-0.036701196
14:28:56,-0.066061452
14:28:57,-0.09541908
14:28:58,-0.092973267
14:28:59,-0.07829314
14:29:00,-0.156585404
14:29:01,-0.034252756
14:29:02,-0.066061452
14:29:03,-0.066061452
14:29:04,-0.090527456
14:29:05,-0.080738952
14:29:06,-0.056272948
14:29:07,-0.090527456
14:29:08,-0.112547648
14:29:09,-0.110099208
14:29:10,-0.134567839
14:29:11,-0.053827136
14:29:12,-0.100313332
14:29:13,-0.044041259
14:29:14,-0.029361132
14:29:15,-0.107653395
14:29:16,-0.036701196
14:29:17,-0.07829314
14:29:18,-0.073398888
14:29:19,-0.105207583
14:29:20,0.034253632
14:29:21,-0.034252756
14:29:22,-0.097867519
14:29:23,-0.04159282
14:29:24,-0.068507263
14:29:25,-0.11499346
14:29:26,-0.119887711
14:29:27,-0.056272948
14:29:28,0.024465128
14:29:29,-0.017126816
14:29:30,-0.036701196
14:29:31,-0.122333524
14:29:32,-0.090527456
14:29:33,-0.036701196
14:29:34,-0.105207583
14:29:35,-0.019572628
14:29:36,-0.014681004
14:29:37,-0.04159282
14:29:38,0.029359381
14:29:39,-0.070953076
14:29:40,-0.053827136
14:29:41,-0.053827136
14:29:42,-0.063613012
14:29:43,0.007339188
14:29:44,-0.07829314
14:29:45,-0.105207583
14:29:46,-0.092973267
14:29:47,-0.058721387
14:29:48,-0.097867519
14:29:49,-0.085633204
14:29:50,-0.088079016
14:29:51,-0.075847328
14:29:52,-0.110099208
14:29:53,-0.137013652
14:29:54,-0.127227776
14:29:55,-0.07829314
14:29:56,-0.04159282
14:29:57,-0.144353715
14:29:58,-0.073398888
14:29:59,-0.124779336
14:30:00,-0.129673587
14:30:01,-0.124779336
14:30:02,-0.056272948
14:30:03,-0.129673587
14:30:04,-0.122333524
14:30:05,-0.075847328
14:30:06,-0.117439273
14:30:07,-0.083187391
14:30:08,-0.129673587
14:30:09,-0.017126816
14:30:10,-0.036701196
14:30:11,-0.097867519
14:30:12,-0.092973267
14:30:13,-0.048932884
14:30:14,-0.11499346
14:30:15,-0.080738952
14:30:16,-0.11499346
14:30:17,-0.088079016
14:30:18,-0.110099208
14:30:19,-0.066061452
14:30:20,-0.112547648
14:30:21,-0.134567839
14:30:22,-0.110099208
14:30:23,-0.088079016
14:30:24,-0.15169378
14:30:25,-0.122333524
14:30:26,-0.070953076
14:30:27,-0.105207583
14:30:28,-0.119887711
14:30:29,-0.134567839
14:30:30,-0.102759144
14:30:31,-0.105207583
14:30:32,-0.15169378
14:30:33,-0.112547648
14:30:34,-0.11499346
14:30:35,-0.1321194
14:30:36,-0.134567839
14:30:37,-0.07829314
14:30:38,-0.058721387
14:30:39,-0.07829314
14:30:40,-0.102759144
14:30:41,-0.075847328
14:30:42,-0.129673587
14:30:43,-0.09541908
14:30:44,-0.053827136
14:30:45,-0.073398888
14:30:46,-0.083187391
14:30:47,-0.039147008
14:30:48,-0.088079016
14:30:49,-0.107653395
14:30:50,-0.044041259
14:30:51,-0.110099208
14:30:52,-0.07829314
14:30:53,-0.080738952
14:30:54,-0.070953076
14:30:55,-0.073398888
14:30:56,-0.058721387
14:30:57,-0.088079016
14:30:58,-0.124779336
14:30:59,-0.083187391
14:31:00,-0.168819719
14:31:01,-0.097867519
14:31:02,-0.105207583
14:31:03,-0.105207583
14:31:04,-0.070953076
14:31:05,-0.044041259
14:31:06,-0.075847328
14:31:07,-0.141907903
14:31:08,-0.046487072
14:31:09,-0.092973267
14:31:10,-0.107653395
14:31:11,-0.085633204
14:31:12,-0.026912692
14:31:13,-0.036701196
14:31:14,-0.053827136
14:31:15,-0.1321194
14:31:16,-0.097867519
14:31:17,-0.017126816
14:31:18,-0.068507263
14:31:19,-0.066061452
14:31:20,-0.07829314
14:31:21,-0.036701196
14:31:22,-0.09541908
14:31:23,-0.058721387
14:31:24,-0.107653395
14:31:25,-0.056272948
14:31:26,-0.129673587
14:31:27,-0.146799528
14:31:28,-0.134567839
14:31:29,-0.11499346
14:31:30,-0.139459464
14:31:31,-0.075847328
14:31:32,-0.068507263
14:31:33,-0.11499346
14:31:34,-0.085633204
14:31:35,-0.036701196
14:31:36,-0.090527456
14:31:37,-0.163925468
14:31:38,-0.100313332
14:31:39,-0.112547648
14:31:40,-0.048932884
14:31:41,-0.088079016
14:31:42,-0.022021067
14:31:43,-0.141907903
14:31:44,-0.105207583
14:31:45,-0.063613012
14:31:46,-0.122333524
14:31:47,-0.110099208
14:31:48,-0.122333524
14:31:49,-0.129673587
14:31:50,-0.046487072
14:31:51,-0.097867519
14:31:52,-0.088079016
14:31:53,-0.092973267
14:31:54,-0.019572628
14:31:55,-0.139459464
14:31:56,-0.15169378
14:31:57,-0.110099208
14:31:58,-0.07829314
14:31:59,-0.053827136
14:32:00,-0.100313332
14:32:01,-0.100313332
14:32:02,-0.031806943
14:32:03,-0.171265532
14:32:04,-0.11499346
14:32:05,-0.105207583
14:32:06,-0.11499346
14:32:07,-0.075847328
14:32:08,-0.0611672
14:32:09,-0.119887711
14:32:10,-0.097867519
14:32:11,-0.122333524
14:32:12,-0.063613012
14:32:13,-0.075847328
14:32:14,-0.139459464
14:32:15,-0.1321194
14:32:16,-0.085633204
14:32:17,-0.15169378
14:32:18,-0.119887711
14:32:19,-0.080738952
14:32:20,-0.173713971
14:32:21,-0.11499346
14:32:22,-0.083187391
14:32:23,-0.112547648
14:32:24,-0.088079016
14:32:25,-0.107653395
14:32:26,-0.105207583
14:32:27,-0.088079016
14:32:28,-0.137013652
14:32:29,-0.1321194
14:32:30,-0.075847328
14:32:31,-0.161479656
14:32:32,-0.088079016
14:32:33,-0.053827136
14:32:34,-0.092973267
14:32:35,-0.063613012
14:32:36,-0.080738952
14:32:37,-0.051381324
14:32:38,-0.07829314
14:32:39,-0.088079016
14:32:40,-0.048932884
14:32:41,-0.068507263
14:32:42,-0.0611672
14:32:43,-0.105207583
14:32:44,-0.105207583
14:32:45,-0.051381324
14:32:46,-0.04159282
14:32:47,-0.080738952
14:32:48,-0.144353715
14:32:49,-0.083187391
14:32:50,-0.166373907
14:32:51,-0.105207583
14:32:52,-0.066061452
14:32:53,-0.097867519
14:32:54,-0.154139591
14:32:55,-0.117439273
14:32:56,-0.039147008
14:32:57,-0.075847328
14:32:58,-0.110099208
14:32:59,-0.156585404
14:33:00,-0.085633204
14:33:01,-0.137013652
14:33:02,-0.181054035
14:33:03,-0.080738952
14:33:04,-0.0611672
14:33:05,-0.159033843
14:33:06,-0.112547648
14:33:07,-0.066061452
14:33:08,-0.088079016
14:33:09,-0.124779336
14:33:10,-0.073398888
14:33:11,-0.171265532
14:33:12,-0.092973267
14:33:13,-0.129673587
14:33:14,-0.110099208
14:33:15,-0.092973267
14:33:16,-0.119887711
14:33:17,-0.112547648
14:33:18,-0.134567839
14:33:19,-0.117439273
14:33:20,-0.176159784
14:33:21,-0.092973267
14:33:22,-0.11499346
14:33:23,-0.029361132
14:33:24,-0.146799528
14:33:25,-0.1321194
14:33:26,-0.026912692
14:33:27,-0.073398888
14:33:28,-0.144353715
14:33:29,-0.127227776
14:33:30,-0.04159282
14:33:31,-0.166373907
14:33:32,-0.112547648
14:33:33,-0.080738952
14:33:34,-0.15169378
14:33:35,-0.088079016
14:33:36,-0.070953076
14:33:37,-0.105207583
14:33:38,-0.119887711
14:33:39,-0.137013652
14:33:40,-0.058721387
14:33:41,-0.083187391
14:33:42,-0.088079016
14:33:43,-0.044041259
14:33:44,-0.1321194
14:33:45,-0.102759144
14:33:46,-0.036701196
14:33:47,-0.102759144
14:33:48,-0.051381324
14:33:49,-0.088079016
14:33:50,-0.11499346
14:33:51,-0.100313332
14:33:52,-0.070953076
14:33:53,-0.053827136
14:33:54,-0.168819719
14:33:55,-0.122333524
14:33:56,-0.156585404
14:33:57,-0.173713971
14:33:58,-0.112547648
14:33:59,-0.080738952
14:34:00,-0.124779336
14:34:01,-0.102759144
14:34:02,-0.1321194
14:34:03,-0.1321194
14:34:04,-0.144353715
14:34:05,-0.100313332
14:34:06,-0.083187391
14:34:07,-0.097867519
14:34:08,-0.066061452
14:34:09,-0.11499346
14:34:10,-0.07829314
14:34:11,-0.053827136
14:34:12,-0.051381324
14:34:13,-0.046487072
14:34:14,-0.046487072
14:34:15,-0.068507263
14:34:16,-0.119887711
14:34:17,-0.107653395
14:34:18,-0.080738952
14:34:19,-0.058721387
14:34:20,-0.063613012
14:34:21,-0.053827136
14:34:22,-0.075847328
14:34:23,-0.083187391
14:34:24,-0.0611672
14:34:25,-0.083187391
14:34:26,-0.022021067
14:34:27,-0.066061452
14:34:28,-0.11499346
14:34:29,-0.068507263
14:34:30,-0.058721387
14:34:31,-0.007340939
14:34:32,-0.034252756
14:34:33,-0.04159282
14:34:34,-0.092973267
14:34:35,-0.09541908
14:34:36,-0.051381324
14:34:37,-0.063613012
14:34:38,-0.100313332
14:34:39,-0.088079016
14:34:40,-0.073398888
14:34:41,-0.070953076
14:34:42,-0.07829314
14:34:43,-0.105207583
14:34:44,-0.053827136
14:34:45,-0.122333524
14:34:46,-0.075847328
14:34:47,-0.07829314
14:34:48,-0.110099208
14:34:49,-0.090527456
14:34:50,-0.11499346
14:34:51,-0.105207583
14:34:52,-0.134567839
14:34:53,-0.139459464
14:34:54,-0.056272948
14:34:55,0.014679252
14:34:56,-0.156585404
14:34:57,-0.080738952
14:34:58,-0.034252756
14:34:59,-0.134567839
14:35:00,-0.171265532
14:35:01,0.009785
14:35:02,-0.068507263
14:35:03,-0.090527456
14:35:04,-0.100313332
14:35:05,-0.0611672
14:35:06,-0.070953076
14:35:07,-0.088079016
14:35:08,-0.119887711
14:35:09,-0.097867519
14:35:10,-0.09541908
14:35:11,-0.07829314
14:35:12,-0.119887711
14:35:13,-0.159033843
14:35:14,-0.110099208
14:35:15,-0.105207583
14:35:16,-0.1321194
14:35:17,-0.102759144
14:35:18,-0.075847328
14:35:19,-0.044041259
14:35:20,-0.075847328
14:35:21,-0.048932884
14:35:22,-0.088079016
14:35:23,-0.117439273
14:35:24,-0.034252756
14:35:25,-0.119887711
14:35:26,-0.058721387
14:35:27,-0.092973267
14:35:28,-0.070953076
14:35:29,-0.088079016
14:35:30,-0.119887711
14:35:31,-0.019572628
14:35:32,-0.080738952
14:35:33,-0.144353715
14:35:34,-0.144353715
14:35:35,-0.048932884
14:35:36,-0.073398888
14:35:37,-0.097867519
14:35:38,-0.0611672
14:35:39,-0.0611672
14:35:40,-0.02446688
14:35:41,-0.053827136
14:35:42,-0.0611672
14:35:43,-0.070953076
14:35:44,-0.068507263
14:35:45,-0.044041259
14:35:46,-0.075847328
14:35:47,-0.105207583
