Date,Weight [Bridge Input Ch:1 -> 1046 S/N:583686]
2024-06-20 13:12:20.913570,-0.0254553952859266
2024-06-20 13:12:21.913570,-0.00101841260616234
2024-06-20 13:12:22.921071,-0.0178197606736639
2024-06-20 13:12:23.921071,-0.0315658709227673
2024-06-20 13:12:24.921071,-0.0712757627828491
2024-06-20 13:12:25.921071,-0.0926575076441709
2024-06-20 13:12:26.921071,-0.0483655790343879
2024-06-20 13:12:27.921071,-0.0315658709227673
2024-06-20 13:12:28.921071,0.0111992587557571
2024-06-20 13:12:29.921071,-0.0361479076724684
2024-06-20 13:12:30.921071,-0.0162913217865243
2024-06-20 13:12:31.921071,-0.0147645228552658
2024-06-20 13:12:32.921071,-0.0605848903521883
2024-06-20 13:12:33.921071,-0.0590564514650487
2024-06-20 13:12:34.921071,-0.0208733585362255
2024-06-20 13:12:35.921071,-0.0911307087129123
2024-06-20 13:12:36.921071,-0.0437835422846867
2024-06-20 13:12:37.921071,-0.0575296525337902
2024-06-20 13:12:38.921071,-0.0636384882147499
2024-06-20 13:12:39.921071,-0.00101841260616234
2024-06-20 13:12:40.921071,-0.0330926698540259
2024-06-20 13:12:41.921071,0.0188365333239008
2024-06-20 13:12:42.921071,-0.0346194687852845
2024-06-20 13:12:43.921071,-0.0498923779656465
2024-06-20 13:12:44.921071,-0.0468387801031293
2024-06-20 13:12:45.921071,-0.0285106331043247
2024-06-20 13:12:46.921071,-0.0514208168528304
2024-06-20 13:12:47.921071,-0.0483655790343879
2024-06-20 13:12:48.921071,-0.0911307087129123
2024-06-20 13:12:49.921071,-0.0208733585362255
2024-06-20 13:12:50.921071,-0.0728025617141522
2024-06-20 13:12:51.921071,-0.0407283044662442
2024-06-20 13:12:52.921071,-0.0498923779656465
2024-06-20 13:12:53.921071,-0.0621116892834913
2024-06-20 13:12:54.921071,-0.0101824861055646
2024-06-20 13:12:55.921071,-0.0392015055349856
2024-06-20 13:12:56.921071,0.00509042307479738
2024-06-20 13:12:57.921071,-0.052947615784089
2024-06-20 13:12:58.921071,-0.052947615784089
2024-06-20 13:12:59.921071,-0.052947615784089
2024-06-20 13:13:00.921071,-0.0392015055349856
2024-06-20 13:13:01.921071,-0.0239285963546236
